vowel,vowel_ethnicity,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35,participant,ethnicity,predicted_ethnicity
?,?_EA,-0.725757555,0.042066794,0.547092172,-0.639712828,0.151521138,0.522440143,-0.604438106,0.225844363,0.592707854,-0.639712828,0.280824194,0.642992497,-0.719977192,0.305413453,0.69192312,1,EA,W
?,?_EA,-0.711368817,0.240289058,0.671706081,-0.631765767,0.249622094,0.631122921,-0.582849966,0.249075496,0.663069828,-0.590416207,0.252895419,0.678134675,-0.608296632,0.245240926,0.678846419,1,EA,W
?,?_EA,-0.796304428,0.241391594,0.66847622,-0.654448527,0.238632972,0.649607736,-0.669404618,0.257243252,0.668116702,-0.71423005,0.280294393,0.673138233,-0.887424332,0.286106827,0.692274182,1,EA,EA
?,?_EA,-0.616058637,0.06335835,0.591155661,-0.572849883,0.147292802,0.6385579,-0.561718043,0.17180823,0.643729688,-0.59549236,0.179457576,0.655815534,-0.649064934,0.130813942,0.63707532,1,EA,W
?,?_EA,-0.81514329,0.308509431,0.651071865,-0.642375946,0.276045847,0.643729688,-0.581594473,0.282940597,0.656179501,-0.623881363,0.279233948,0.690869194,-0.67077542,0.277641168,0.708981845,1,EA,W
?,?_EA,-0.564181098,0.279764311,0.70690859,-0.550708757,0.250714393,0.687348064,-0.561718043,0.27284755,0.701358801,-0.594220904,0.276045847,0.694728171,-0.650408117,0.274980884,0.731508395,1,EA,EA
?,?_EA,-0.643710169,0.213456817,0.692975937,-0.549492952,0.207774984,0.672064312,-0.519568516,0.225844363,0.669554,-0.560488786,0.233648193,0.688758004,-0.666668638,0.250168392,0.701010914,1,EA,W
?,?_EA,-0.793198835,0.254528072,0.654358339,-0.653099909,0.213456817,0.657270609,-0.618659419,0.198616362,0.627384599,-0.614760779,0.167664986,0.654358339,-0.65986126,0.082915688,0.64336116,1,EA,W
?,?_EA,-0.722863197,0.011337166,0.56319558,-0.622573318,0.16231261,0.570358364,-0.637056784,0.220795264,0.59580503,-0.681810015,0.268030843,0.649241368,-0.791649648,0.284524965,0.679202101,1,EA,W
?,?_EA,-0.717099492,0.254528072,0.576288407,-0.614760779,0.22808025,0.560396138,-0.610877279,0.239737334,0.624008119,-0.616058637,0.240840478,0.665956874,-0.708515748,0.238080333,0.686995268,1,EA,W
?,?_EA,-0.669404618,0.207774984,0.627384599,-0.627815794,0.21910655,0.628881605,-0.575340544,0.240840478,0.649973969,-0.610877279,0.244142628,0.656543336,-0.69016661,0.252895419,0.676709666,1,EA,W
?,?_EA,-0.642375946,0.178871237,0.702749138,-0.581594473,0.217979154,0.706562629,-0.580340555,0.243593026,0.715518941,-0.681810015,0.244691927,0.72914313,-0.802544698,0.231424735,0.730495395,1,EA,EA
?,?_EA,-0.647723552,0.28768619,0.642992497,-0.554365068,0.28768619,0.634475504,-0.535017427,0.282940597,0.693677199,-0.610877279,0.292932792,0.732183159,-0.684587795,0.280824194,0.758149998,1,EA,W
?,?_EA,-0.650408117,0.214023229,0.627759061,-0.619962351,0.2485286,0.657270609,-0.618659419,0.253439933,0.661985033,-0.649064934,0.26103216,0.669554,-0.702833915,0.255071698,0.680268388,1,EA,W
?,?_EA,-0.776288363,0.316718815,0.664875208,-0.623881363,0.282411916,0.714832834,-0.58788776,0.261572263,0.69507825,-0.614760779,0.246886114,0.699269664,-0.695776722,0.240289058,0.707600153,1,EA,EA
?,?_EA,-0.702833915,0.21232303,0.639668394,-0.625191121,0.236420582,0.657270609,-0.607008802,0.242492916,0.657270609,-0.66530345,0.256700805,0.66270836,-0.808824153,0.276045847,0.727789033,1,EA,W
?,?_EA,-0.65986126,0.26856718,0.688405705,-0.608296632,0.274980884,0.654358339,-0.594220904,0.279233948,0.661985033,-0.645046174,0.279764311,0.684522205,-0.708515748,0.277109677,0.687700735,1,EA,W
?,?_EA,-0.567887094,0.202060682,0.611529227,-0.558034797,0.20549318,0.611909672,-0.596765434,0.233092792,0.657270609,-0.67903993,0.259951079,0.684875875,-0.724309329,0.251805501,0.685582838,1,EA,W
?,?_EA,-0.622573318,0.262651594,0.662346762,-0.565414905,0.213456817,0.675282623,-0.561718043,0.206634733,0.684875875,-0.574094438,0.188211644,0.685582838,-0.650408117,0.16231261,0.645570292,1,EA,W
?,?_EA,-0.456726599,0.228638441,0.689110179,-0.502034461,0.220232676,0.694027646,-0.52904726,0.208344622,0.695428206,-0.553144812,0.178284555,0.677422424,-0.637056784,0.10778149,0.66089906,1,EA,EA
?,?_EA,-0.53741551,0.215720542,0.628507564,-0.596765434,0.217414979,0.628507564,-0.673522675,0.232537082,0.688758004,-0.758160979,0.252895419,0.711395224,-0.99146072,0.231981063,0.686995268,1,EA,EA
?,?_EA,-0.561718043,0.232537082,0.675282623,-0.555586816,0.236420582,0.66847622,-0.564181098,0.266957306,0.673495951,-0.612170104,0.270709655,0.713802791,-0.721419153,0.264268409,0.735886244,1,EA,W
?,?_EA,-0.796304428,-0.002629542,0.531137651,-0.67903993,0.184135947,0.537304166,-0.635731403,0.245240926,0.614189309,-0.650408117,0.266420104,0.645938007,-0.73011486,0.284524965,0.657634047,1,EA,W
?,?_EA,-0.807250589,0.215720542,0.638928202,-0.708515748,0.215155091,0.638928202,-0.647723552,0.254528072,0.680623565,-0.653099909,0.247433909,0.693326629,-0.680424013,0.233648193,0.697874477,1,EA,W
?,?_EA,-0.753680015,0.221357535,0.679557656,-0.715663742,0.247981404,0.678846419,-0.734491235,0.261572263,0.683460446,-0.805679497,0.270709655,0.683814491,-1.018282252,0.282411916,0.699618156,1,EA,EA
?,?_EA,-0.684587795,0.120918995,0.506929457,-0.596765434,0.15633173,0.582183492,-0.601874002,0.182968404,0.620620199,-0.617358183,0.187630418,0.640038285,-0.67077542,0.14547517,0.620243054,1,EA,W
?,?_EA,-0.908079111,0.31518468,0.615327181,-0.694371241,0.263729761,0.572338955,-0.641043501,0.253439933,0.600817572,-0.642375946,0.258868828,0.632986855,-0.67903993,0.252895419,0.640408039,1,EA,W
?,?_EA,-0.577837425,0.249622094,0.663792371,-0.558034797,0.256158065,0.65908648,-0.577837425,0.273914786,0.675639575,-0.631765767,0.274447977,0.686642348,-0.676277497,0.253984151,0.703096421,1,EA,W
?,?_EA,-0.83111807,0.169442765,0.655087202,-0.629130719,0.169442765,0.64409808,-0.614760779,0.178284555,0.620997202,-0.653099909,0.190533177,0.601586507,-0.67903993,0.175934378,0.609624828,1,EA,W
?,?_EA,-0.787016436,0.20549318,0.64814146,-0.635731403,0.16409992,0.63707532,-0.59549236,0.158129753,0.591932058,-0.591682831,0.120918995,0.58609433,-0.650408117,0.033964116,0.557588837,1,EA,W
?,?_EA,-0.718537307,0.042066794,0.547497934,-0.681810015,0.170626197,0.586874666,-0.655798966,0.252895419,0.661985033,-0.663940124,0.253439933,0.694728171,-0.768695312,0.243043122,0.690165959,1,EA,W
?,?_EA,-0.731571525,0.283997121,0.63484732,-0.668035693,0.244691927,0.64814146,-0.619962351,0.234203286,0.667037371,-0.605722628,0.217414979,0.673138233,-0.647723552,0.204350323,0.69577804,1,EA,W
?,?_EA,-0.684587795,0.21910655,0.656907038,-0.67765776,0.231424735,0.641147137,-0.590416207,0.279233948,0.665235893,-0.623881363,0.273381311,0.717916613,-0.709941265,0.264268409,0.73252037,1,EA,W
?,?_EA,-0.627815794,0.174757215,0.723035204,-0.57036541,0.190533177,0.747910437,-0.544644457,0.230868097,0.745583695,-0.579088207,0.255071698,0.742250358,-0.68319794,0.257785404,0.767634942,1,EA,EA
?,?_EA,-0.663940124,0.279233948,0.659811906,-0.605722628,0.252350608,0.666317169,-0.581594473,0.256158065,0.686995268,-0.634407776,0.268030843,0.692274182,-0.738886846,0.257785404,0.699269664,1,EA,W
?,?_EA,-0.668035693,0.246886114,0.692625121,-0.619962351,0.266957306,0.718258669,-0.619962351,0.278172376,0.687348064,-0.658505328,0.290837453,0.718258669,-0.708515748,0.288737715,0.714489605,1,EA,EA
?,?_EA,-0.862191707,0.337452807,0.672422414,-0.698593626,0.26856718,0.684522205,-0.639712828,0.2594101,0.692625121,-0.629130719,0.263729761,0.68946223,-0.630447375,0.281353715,0.708981845,1,EA,W
?,?_EA,-0.709941265,0.187048853,0.617599049,-0.672148104,0.210619936,0.60733475,-0.641043501,0.216285673,0.568373843,-0.663940124,0.220795264,0.603122605,-0.770209317,0.235866718,0.626260372,1,EA,W
?,?_EA,-0.639712828,0.313135499,0.685582838,-0.625191121,0.264806767,0.665235893,-0.621266983,0.275513507,0.690165959,-0.669404618,0.293978817,0.713802791,-0.735954293,0.301270516,0.726433101,1,EA,EA
?,?_EA,-0.621266983,0.187630418,0.659811906,-0.579088207,0.199765787,0.666677335,-0.585365691,0.221357535,0.678134675,-0.633085899,0.243593026,0.686289303,-0.700005059,0.276045847,0.706562629,1,EA,EA
?,?_EA,-0.676277497,0.251260096,0.649973969,-0.623881363,0.238080333,0.64704034,-0.572849883,0.231981063,0.664875208,-0.604438106,0.207774984,0.683814491,-0.633085899,0.158129753,0.676709666,1,EA,W
?,?_EA,-0.555586816,0.242492916,0.713115506,-0.584107038,0.243593026,0.730833176,-0.584107038,0.250714393,0.728804778,-0.618659419,0.217414979,0.723375514,-0.631765767,0.158728376,0.674211003,1,EA,EA
?,?_EA,-0.543435998,0.221919491,0.637446171,-0.592951062,0.233092792,0.644466336,-0.651753108,0.252350608,0.656179501,-0.761159482,0.265344835,0.687700735,-0.899421049,0.257243252,0.686642348,1,EA,EA
?,?_EA,-0.590416207,0.266957306,0.720990911,-0.604438106,0.254528072,0.721672806,-0.591682831,0.274980884,0.719284134,-0.621266983,0.288737715,0.740579514,-0.655798966,0.275513507,0.745583695,1,EA,EA
?,?_EA,-0.800980976,-0.114103408,0.168850523,-0.865519497,-0.090024575,0.15513125,-0.939883912,-0.035513134,0.123401926,-1.037890723,0.010643444,0.132658394,-1.142151733,0.148502723,0.175934378,1,EA,W
?,?_EA,-0.819908986,-0.100051655,0.195737005,-0.84571687,-0.070267094,0.157530771,-0.909819756,-0.072526982,0.130198368,-0.980182405,-0.042807112,0.105890534,-1.09283842,-0.031885999,0.115934561,1,EA,W
?,?_EA,-0.889129363,-0.048680844,0.192849333,-0.93809019,0.007167597,0.193427535,-1.008620341,0.018248043,0.161119292,-1.061939978,0.046093645,0.191112719,-1.187103121,0.127114801,0.225844363,1,EA,W
?,?_EA,-0.906341492,-0.083903669,0.140002369,-0.969029873,-0.07782,0.124021697,-1.018282252,-0.002629542,0.115309756,-1.084505038,0.031248568,0.166478043,-1.3118066,0.133272456,0.231981063,1,EA,W
?,?_EA,-0.816729333,-0.083903669,0.182968404,-0.844084216,-0.008271306,0.159326641,-0.911563436,0.015489421,0.156931431,-0.980182405,0.02237176,0.167664986,-1.037890723,0.065988201,0.19919124,1,EA,W
?,?_EA,-0.868858398,0.001580991,0.254528072,-0.918568718,0.008559386,0.232537082,-0.974590592,0.008559386,0.220795264,-1.043849033,0.035995949,0.220795264,-1.155426265,0.131429138,0.286106827,1,EA,W
e?,e?_EA,-0.911563436,0.318760674,0.64704034,-0.950714343,0.396722215,0.647407515,-1.035912483,0.450441809,0.634103549,-1.111846384,0.48773501,0.656179501,-1.175674425,0.47603897,0.640408039,1,EA,W
e?,e?_EA,-0.85227427,0.451781993,0.678134675,-0.911563436,0.472547042,0.657634047,-1.061939978,0.503967746,0.672780388,-1.261034274,0.530312569,0.671706081,-1.44831862,0.48816558,0.675639575,1,EA,W
e?,e?_EA,-0.99714794,0.415414348,0.731170843,-1.053859126,0.508196082,0.753868746,-1.203325957,0.540985905,0.757821321,-1.330203965,0.570358364,0.743918415,-1.427638415,0.566783385,0.745250861,1,EA,EA
e?,e?_EA,-0.972733581,0.385336893,0.672422414,-1.000957468,0.441912016,0.650706034,-1.045843051,0.473857944,0.64188569,-1.086581882,0.489456181,0.654722837,-1.133398942,0.484283755,0.645202442,1,EA,W
e?,e?_EA,-0.862191707,0.394833641,0.653993708,-1.006699111,0.425089614,0.615706184,-1.053859126,0.465966628,0.626635255,-1.101241831,0.48816558,0.642254762,-1.131222663,0.47995287,0.679202101,1,EA,W
e?,e?_EA,-0.99146072,0.426006204,0.72609383,-1.05789139,0.499295832,0.767309368,-1.177949739,0.549119337,0.724395749,-1.34624709,0.590767236,0.759791765,-1.555338888,0.614948034,0.764374424,1,EA,EA
?,?_EA,-0.827902633,0.410773969,0.737229427,-0.819908986,0.395778374,0.751555843,-0.741828025,0.373337709,0.73386808,-0.69156619,0.354326656,0.690517639,-0.765674162,0.246338018,0.587264605,1,EA,EA
?,?_EA,-1.184806909,0.368497429,0.67849061,-0.95800035,0.386290637,0.688053283,-0.862191707,0.411238977,0.693326629,-0.824697503,0.365581975,0.692625121,-0.929169524,0.361192794,0.669554,1,EA,W
?,?_EA,-0.970880013,0.460228364,0.711739517,-0.93809019,0.405644557,0.718942429,-0.974590592,0.420954529,0.700314778,-1.018282252,0.399548407,0.697874477,-1.133398942,0.374785237,0.689814156,1,EA,EA
?,?_EA,-0.920327734,0.385336893,0.710361632,-0.922089849,0.435126195,0.735550166,-0.922089849,0.425089614,0.726772257,-0.909819756,0.41356078,0.728466311,-0.969029873,0.391520028,0.712083692,1,EA,EA
?,?_EA,-1.045843051,0.108411014,0.603122605,-0.855569166,0.357765618,0.638928202,-0.774765134,0.410308744,0.652533854,-0.705670796,0.405176939,0.671347723,-0.787016436,0.387243471,0.676709666,1,EA,W
?,?_EA,-1.15765592,0.360703916,0.684875875,-1.041858982,0.40189748,0.717916613,-0.959830177,0.41309685,0.721331917,-0.899421049,0.419572359,0.723035204,-0.967183151,0.371888083,0.705177587,1,EA,EA
?,?_EA,-0.980182405,0.380554483,0.677422424,-0.915059943,0.404241048,0.7368938,-0.908079111,0.414024494,0.735886244,-0.897698395,0.418649849,0.73386808,-1.022173307,0.38485968,0.718258669,1,EA,EA
?,?_EA,-1.020225887,0.331428692,0.69577804,-0.952530874,0.367526555,0.711050812,-1.002867688,0.368982512,0.699269664,-1.024124527,0.360214799,0.691571935,-1.16437487,0.342445329,0.694027646,1,EA,EA
?,?_EA,-1.035912483,0.289263063,0.684522205,-0.81514329,0.295545806,0.68133354,-0.756665092,0.308509431,0.68133354,-0.740356354,0.295023749,0.690517639,-0.708515748,0.290837453,0.698572314,1,EA,W
?,?_EA,-1.120411747,0.324861354,0.634103549,-0.885722204,0.284524965,0.622127358,-0.749219041,0.271244558,0.651437563,-0.721419153,0.261572263,0.652168557,-0.737419494,0.16231261,0.598892643,1,EA,W
?,?_EA,-1.045843051,0.384382239,0.753208462,-0.884022969,0.395306119,0.708981845,-0.796304428,0.393414865,0.736558061,-0.770209317,0.388195399,0.736222209,-0.731571525,0.388671023,0.727789033,1,EA,EA
?,?_EA,-1.1621302,0.321307148,0.660536806,-0.918568718,0.335448798,0.665596449,-0.839202189,0.339952183,0.678134675,-0.773244221,0.326886671,0.669913002,-0.847352193,0.312109332,0.674568337,1,EA,W
?,?_EA,-1.090748555,0.35334192,0.672422414,-1.002867688,0.354326656,0.692625121,-0.936299679,0.381512797,0.690869194,-0.948901106,0.387243471,0.689814156,-0.983927728,0.387243471,0.700662907,1,EA,EA
?,?_EA,-0.850630885,0.285052531,0.688758004,-0.668035693,0.253439933,0.677066108,-0.581594473,0.239185306,0.654358339,-0.594220904,0.212890084,0.665956874,-0.67765776,0.150918183,0.664875208,1,EA,W
?,?_EA,-0.918568718,0.355310424,0.670989235,-0.826298784,0.36801211,0.648508231,-0.81197873,0.372854734,0.656543336,-0.810400198,0.361681433,0.652899017,-0.821502612,0.350381878,0.661985033,1,EA,W
?,?_EA,-1.270984605,0.373820451,0.684875875,-1.055873226,0.418188275,0.684168411,-0.941680858,0.423713151,0.684522205,-0.81514329,0.404709103,0.680978616,-0.753680015,0.352849188,0.656179501,1,EA,W
?,?_EA,-1.037890723,0.396722215,0.751555843,-0.860531956,0.389146422,0.729481368,-0.773244221,0.392941493,0.723715708,-0.816729333,0.368982512,0.728127729,-0.882326615,0.35334192,0.705870348,1,EA,EA
?,?_EA,-0.920327734,0.157530771,0.36801211,-0.870532039,0.231424735,0.500997236,-0.744777879,0.256158065,0.648508231,-0.735954293,0.252350608,0.632241698,-0.827902633,0.158728376,0.458012542,1,EA,W
?,?_EA,-0.943481039,0.308509431,0.664153447,-0.880633135,0.307478503,0.67063062,-0.747736461,0.293455941,0.655815534,-0.743301864,0.282411916,0.667037371,-0.759659106,0.235312548,0.630376374,1,EA,W
?,?_EA,-1.270984605,0.371888083,0.695428206,-1.026079562,0.386767168,0.688758004,-0.93809019,0.367526555,0.680268388,-0.884022969,0.303861862,0.667037371,-1.000957468,0.141221138,0.620620199,1,EA,W
?,?_EA,-0.904606886,0.304896524,0.652168557,-0.878942517,0.352849188,0.684522205,-0.810400198,0.368982512,0.701706567,-0.758160979,0.349393247,0.687348064,-0.761159482,0.298672437,0.671706081,1,EA,W
?,?_EA,-1.296302413,0.424172183,0.70690859,-0.993352869,0.399548407,0.658360527,-0.880633135,0.367040764,0.651437563,-0.796304428,0.358746011,0.659449259,-0.776288363,0.342943213,0.656179501,1,EA,W
?,?_EA,-0.808824153,0.449994682,0.72609383,-0.805679497,0.411703769,0.680268388,-0.724309329,0.400018663,0.688405705,-0.724309329,0.394360939,0.691220626,-0.793198835,0.367526555,0.678134675,1,EA,W
