"vowel_ethnicity","hit_rate","false_alarm_rate","d_prime","response_bias"
"aɪ_EA",0.832699619771863,0.167300380228137,1.92977660715312,0
"aɪ_W",0.590909090909091,0.409090909090909,0.459768235158464,-5.55111512312578e-17
"eɪ_EA",0.777777777777778,0.222222222222222,1.52941934757277,0
"eɪ_W",0.466666666666667,0.533333333333333,-0.167303467814258,0
"o_EA",0.8,0.2,1.68324246714583,-1.11022302462516e-16
"o_W",0.576271186440678,0.423728813559322,0.384726627445019,0
"u_EA",0.645833333333333,0.354166666666667,0.748190820395447,-5.55111512312578e-17
"u_W",0.6125,0.3875,0.571681749762331,-8.32667268468867e-17
"æ_EA",0.875,0.125,2.30069876075202,0
"æ_W",0.566666666666667,0.433333333333333,0.335788009576211,0
"ɑ_EA",0.88,0.12,2.34997358413218,0
"ɑ_W",0.65,0.35,0.770640932815135,0
"ɔ_EA",0.8125,0.1875,1.77429311803775,0
"ɔ_W",0.560975609756098,0.439024390243902,0.306886397646669,-6.93889390390723e-17
"ɔɪ_EA",0.840277777777778,0.159722222222222,1.99120037168391,0
"ɔɪ_W",0.611570247933884,0.388429752066116,0.566827983253949,8.32667268468867e-17
"ɛ_EA",0.784499054820416,0.215500945179584,1.57495672354566,-2.22044604925031e-16
"ɛ_W",0.530474040632054,0.469525959367946,0.152923060553053,0
"ɝ_EA",0.661971830985915,0.338028169014085,0.835701239914325,0
"ɝ_W",0.6,0.4,0.5066942062716,0
"ɪ_EA",0.792418772563177,0.207581227436823,1.6296850531069,-5.55111512312578e-17
"ɪ_W",0.533477321814255,0.466522678185745,0.168027860039906,-4.85722573273506e-17
"ʊ_EA",0.826086956521739,0.173913043478261,1.87762863375381,0
"ʊ_W",0.5,0.5,0,0
"ʌ_EA",0.826446280991736,0.173553719008264,1.8804294194992,0
"ʌ_W",0.62,0.38,0.610961576198795,0
